## name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB141205018,13.056,1.28,5.888,1.28,4.6669,1.8177,-87.58,3.9,0.3921568627450981,0.03844675124951942,0.45098039215686275,0.107547871823909,False,False,True,True,False,False
GRB141205337,1.28,0.572,0.256,0.572,6.3299,1.5881,37.876,0.033,0.2,0.089375,0.2,0.4557248690273551,True,True,True,True,True,True
GRB141205763,5.437,0.407,1.536,0.362,30.2162,2.4719,-7.82,1.73,0.1995585800993195,0.014938448059669492,0.2825087364355343,0.06985871935997608,False,True,True,False,True,False
GRB141206254,4.608,1.557,2.048,0.724,3.4086,0.8422,2.42,9.29,0.16666666666666669,0.05631510416666668,0.4444444444444445,0.21734349968588865,True,True,True,True,True,True
GRB141207800,20.992,0.572,10.24,0.572,12.7461,1.2009,3.91,0.215,0.14634146341463414,0.003987581796549672,0.4878048780487805,0.030317570384032145,False,True,True,False,True,False
GRB141208038,14.336,1.448,7.424,0.572,4.3855,1.4075,10.97,9.49,0.10714285714285714,0.0108219068877551,0.5178571428571429,0.06578662327579823,False,True,True,True,True,False
GRB141208632,0.96,0.834,0.576,0.429,6.7821,1.4608,26.44,16.98,0.3333333333333333,0.28958333333333325,0.6,0.6865849023427474,True,True,True,True,True,True
GRB141209131,78.081,4.971,46.849,1.493,4.6547,0.9574,-30.57,3.5,0.06229428414082812,0.003965944166494493,0.6000051228852089,0.04271758246855274,False,True,True,True,False,False
GRB141213300,0.768,0.513,0.192,0.072,15.8008,1.5719,18.06,8.72,0.125,0.08349609375,0.25,0.19150836322739317,True,True,True,False,True,False
GRB141215560,11.264,0.362,7.424,0.362,30.3631,2.4895,-52.745,0.25,0.20454545454545453,0.006573637654958678,0.6590909090909092,0.03849029078725832,False,True,True,False,False,False
GRB141220252,7.616,0.923,3.133,0.768,16.0741,1.4775,32.1336,0.001,0.11804096638655463,0.014305647580723469,0.41137079831932777,0.1124912829770424,False,True,True,False,True,False
GRB141221338,23.808,1.717,11.008,3.874,8.9384,1.5245,8.2054,0.0011,0.3548387096774194,0.02559047650017343,0.46236559139784944,0.16609991681665573,False,False,True,True,True,False
GRB141221897,32.513,1.846,13.568,0.81,4.9781,0.8917,-74.21,3.69,0.22046565988989023,0.012517442504743868,0.41730999907729216,0.03438104123487591,False,False,True,True,False,False
GRB141222298,2.752,0.264,0.768,0.091,121.019,2.6175,-57.35,0.1,0.06976744186046513,0.006692806922660899,0.2790697674418605,0.042545456785463634,True,True,True,False,False,False
GRB141222691,34.049,0.724,16.384,0.362,21.737,1.4917,40.13,1.0,0.07518576169637874,0.001598710431089847,0.481188874856824,0.014755421552363228,False,True,True,False,True,False
GRB141223240,94.208,3.974,40.448,18.205,3.9716,1.29,-20.71,7.48,0.04891304347826088,0.002063311340678167,0.42934782608695654,0.1940894790993588,False,True,True,True,False,False
GRB141225959,56.32,4.891,16.384,1.28,4.4224,1.1273,33.795,0.05,0.08181818181818183,0.007105339617768595,0.2909090909090909,0.03398190413230862,False,True,True,True,True,False
GRB141226880,38.656,3.415,15.872,1.493,3.6,0.9706,28.39,6.26,0.10596026490066225,0.009360883294592344,0.4105960264900662,0.052985620412762176,False,True,True,True,True,False
GRB141229492,13.824,6.661,3.328,0.81,12.1406,1.3133,-19.2328,0.0013,0.037037037037037035,0.017846043381344306,0.24074074074074073,0.12995791995351907,False,True,True,False,False,False
GRB141229911,91.392,17.71,27.904,1.145,4.2886,1.0254,23.06,4.3,0.33053221288515405,0.06405074284615808,0.30532212885154064,0.06047743709298301,False,False,True,True,True,False
GRB141230142,9.856,1.086,2.176,0.462,9.5689,1.9549,1.59,3.86,0.025974025974025976,0.0028619919041996964,0.2207792207792208,0.05281160105425377,False,True,True,True,True,False
GRB141230834,28.928,1.493,14.08,0.724,4.7847,1.1097,11.65,4.23,0.07964601769911506,0.00411060233769285,0.48672566371681414,0.035460053196035596,False,True,True,True,True,False
GRB141230871,0.224,0.16,0.096,0.072,8.1871,1.1479,-40.18,10.48,0.42857142857142855,0.3061224489795918,0.42857142857142855,0.4438775510204081,True,True,True,True,False,False
GRB150101270,0.48,0.959,0.224,0.101,5.8286,1.1926,36.7332,0.0008,0.3333333333333333,0.6659722222222221,0.4666666666666667,0.9558098216295209,True,True,True,True,True,True
GRB150101641,0.08,0.928,0.016,0.023,10.4791,1.3498,-10.956,0.04,0.0,0.0,0.2,2.3377459763627018,True,True,True,True,False,False
GRB150105257,80.641,1.379,20.224,0.572,30.636,1.9283,-14.78,1.0,0.3523889832715368,0.006026021601064584,0.2507905407919048,0.008288873892827545,False,False,True,False,False,False
GRB150106921,79.872,16.077,30.208,5.838,3.7791,1.1037,0.31,13.14,0.05448717948717949,0.01096742769199951,0.3782051282051282,0.10553544514602221,False,True,True,True,False,False
GRB150110433,74.304,0.716,8.384,0.405,10.0926,1.2452,18.9,1.0,0.7760551248923342,0.00747813670088974,0.11283376399655469,0.00555796790265878,False,False,True,True,True,False
GRB150110923,2.56,0.832,1.152,0.231,3.9462,1.1889,32.522,0.05,0.27499999999999997,0.08937499999999998,0.44999999999999996,0.171846748388326,True,True,True,True,True,True
