name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB230524357,11.008,4.72,3.584,0.572,5.8002,1.119,-87.77,4.46,0.46511627906976744,0.19943212547322878,0.32558139534883723,0.14895947705418353,False,False,True,True,False,False
GRB250330255,4.8,0.326,1.664,0.181,8.1937,1.214,-86.8797,0.0011,0.12000000000000002,0.008150000000000003,0.3466666666666667,0.044455137689307735,False,True,True,True,False,False
GRB250926827,24.256,1.619,12.8,0.81,7.1472,1.1367,-86.18,3.86,0.15567282321899736,0.010390596173794392,0.5277044854881267,0.0485361770322684,False,True,True,True,False,False
GRB230428381,4.352,1.639,1.536,1.145,3.2913,1.2449,-86.06,15.86,0.1764705882352941,0.06646031574394463,0.3529411764705882,0.2947679597422112,True,True,True,True,False,False
GRB250720790,1.024,1.214,0.128,0.143,22.9704,6.4508,-80.65,5.52,0.75,0.88916015625,0.125,0.2036245512187548,True,True,True,False,False,False
GRB250924435,0.512,1.214,0.128,0.462,8.2356,3.1247,-61.82,9.5,0.5,1.185546875,0.25,1.0796316924625864,True,True,True,True,False,False
GRB251114860,7.936,1.145,1.28,0.362,9.6557,1.1041,-85.15,3.54,0.22580645161290322,0.03257918184183143,0.16129032258064516,0.051207939386976244,False,True,True,True,False,False
GRB240119729,0.832,0.923,0.064,0.091,21.207,2.3953,-83.61,5.14,0.6923076923076924,0.7680288461538464,0.07692307692307693,0.13872712575988028,True,True,True,False,False,False
GRB251018723,0.32,0.163,0.128,0.045,10.2205,1.235,-85.95,3.1,0.1,0.050937500000000004,0.4,0.24756706793311586,True,True,True,True,False,False
GRB251211112,182.531,8.002,63.745,3.416,4.7603,0.9321,-32.33,6.42,0.12623061288219536,0.005533840083510896,0.3492283502528337,0.02417911008940091,False,True,True,True,False,False
GRB250321908,8.96,1.619,4.096,0.923,3.8052,1.0185,-28.48,4.96,0.0857142857142857,0.015487882653061221,0.45714285714285713,0.13204111577445155,False,True,True,True,False,False
GRB250725077,9.472,0.362,2.816,0.362,22.5859,1.7468,-82.784,0.05,0.13513513513513517,0.005164581811541273,0.2972972972972973,0.03987110677133172,False,True,True,False,False,False
GRB220921473,44.288,2.429,22.272,0.81,4.007,1.3921,-80.59,11.45,0.19075144508670522,0.010461869131945606,0.5028901734104047,0.033094244249637285,False,True,True,True,False,False
GRB250319214,1.056,0.528,0.032,0.072,9.3101,1.1701,-70.9,3.18,0.6060606060606061,0.30303030303030304,0.030303030303030304,0.06984503376737036,True,False,True,True,False,False
GRB240112914,3.264,0.462,1.984,0.781,10.6569,3.116,-79.38,11.1,0.07843137254901962,0.011101499423298734,0.607843137254902,0.2542749772087267,True,True,True,True,False,False
GRB231031144,11.52,2.573,2.816,0.724,5.3266,1.2074,-77.51,8.59,0.11111111111111112,0.024816743827160495,0.24444444444444444,0.08325015248090936,False,True,True,True,False,False
GRB240421224,4.096,1.864,3.584,3.367,3411.57,2534.34,-77.36,8.35,0.06250000000000006,0.028442382812500028,0.875,0.9133877994720678,True,True,True,False,False,False
GRB250317004,17.664,2.896,6.4,1.493,3.3129,1.1374,-25.44,6.3,0.2608695652173913,0.04276937618147448,0.36231884057971014,0.10330821854519269,False,False,True,True,False,False
GRB230426853,25.856,0.724,8.448,0.572,72.8103,2.6829,-82.4,1.0,0.2871287128712871,0.008039959317713948,0.32673267326732675,0.023939691401184328,False,False,True,False,False,False
GRB250412754,11.008,1.145,2.56,0.362,4.8073,1.1689,-81.67,4.38,0.0930232558139535,0.009675838290968092,0.23255813953488375,0.04082366027193148,False,True,True,True,False,False
GRB231129799,5.824,0.091,2.624,0.091,113.681,2.3501,-81.636,0.09,0.15384615384615383,0.0024038461538461535,0.45054945054945056,0.017137674992485117,False,True,True,False,False,False
GRB250606187,6.336,0.528,1.536,0.362,10.8728,1.0696,-77.05,3.02,0.1515151515151515,0.012626262626262626,0.24242424242424243,0.060600306176729804,False,True,True,True,False,False
GRB250821672,2.304,0.143,0.704,0.091,58.3205,1.9064,-77.13,1.0,0.11111111111111112,0.006896219135802469,0.3055555555555556,0.04381360358571749,True,True,True,False,False,False
GRB251031306,44.801,1.619,15.36,0.362,16.6938,15.8412,-17.59,3.29,0.1714247449833709,0.006194876501151258,0.3428494899667418,0.014791728644167697,False,True,True,True,False,False
GRB240216456,2.432,0.528,0.704,0.143,18.9663,1.415,-76.07,7.06,0.2105263157894737,0.04570637119113574,0.2894736842105263,0.08606401731702044,True,True,True,False,False,False
GRB230307656,34.561,0.572,13.568,0.362,954.334,16.5833,-75.3785,0.0001,0.11851508926246347,0.001961477707766821,0.39258123318191024,0.012325815092388998,False,True,True,False,False,False
GRB251211548,34.56,3.692,11.008,1.086,4.8836,1.4201,-17.16,18.43,0.13333333333333333,0.014243827160493829,0.3185185185185185,0.04631710968768979,False,True,True,True,False,False
GRB251006561,1.408,0.345,0.256,0.202,6.5863,1.3009,-16.56,12.0,0.7727272727272728,0.1893401342975207,0.18181818181818182,0.15022391553590234,True,False,True,True,False,False
GRB260109362,24.896,1.632,12.48,2.18,2.7571,0.8188,-73.94,13.68,0.07455012853470437,0.004886962153303242,0.5012853470437018,0.09352711076270721,False,True,True,True,False,False
GRB231214850,20.992,0.572,13.824,0.362,22.2383,1.7714,-72.433,0.0005,0.1951219512195122,0.005316775728732896,0.6585365853658536,0.024887141904479656,False,True,True,False,False,False
