## name,ra,dec,trigger_time,t90,t90_error,t90_start,flux_64,flux_64_error,error_radius,t50,t50_error,t50_start,cut_t90,relative_peak_time,relative_peak_time_error,cut_peak_time,t50_t90,t50_t90_error,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB141205337,92.859,37.876,56996.337007995,1.28,0.572,-0.256,6.3299,1.5881,0.033,0.256,0.572,0.0,True,0.2,0.089375,True,0.2,0.4557248690273551,True,True,True,True
GRB141206254,320.56,2.42,56997.254070718,4.608,1.557,-1.28,3.4086,0.8422,9.29,2.048,0.724,-0.512,True,0.16666666666666669,0.05631510416666668,True,0.4444444444444445,0.21734349968588865,True,True,True,True
GRB141208632,359.26,26.44,56999.631924993,0.96,0.834,-0.96,6.7821,1.4608,16.98,0.576,0.429,-0.64,True,0.3333333333333333,0.28958333333333325,True,0.6,0.6865849023427474,True,True,True,True
GRB150101270,312.603,36.7332,57023.270066683,0.48,0.959,-0.416,5.8286,1.1926,0.0008,0.224,0.101,-0.256,True,0.3333333333333333,0.6659722222222221,True,0.4666666666666667,0.9558098216295209,True,True,True,True
GRB150110923,289.36,32.522,57032.922591549,2.56,0.832,-1.024,3.9462,1.1889,0.05,1.152,0.231,-0.32,True,0.27499999999999997,0.08937499999999998,True,0.44999999999999996,0.171846748388326,True,True,True,True
GRB150120123,10.3188,33.9948,57042.123460702,3.328,1.382,-0.64,4.7869,1.3561,0.001,0.576,0.32,-0.256,True,0.11538461538461539,0.047915125739644966,True,0.17307692307692307,0.12004684709783506,True,True,True,True
GRB150201040,5.63,19.75,57054.039517231,0.512,1.154,-0.32,4.978,1.2227,13.92,0.128,0.373,-0.192,True,0.25,0.5634765625,True,0.25,0.920999919845793,True,True,True,True
GRB150208929,350.67,34.89,57061.928687689,0.128,0.528,-0.128,5.0785,1.1755,4.17,0.064,0.202,-0.128,True,0.0,0.0,True,0.5,2.596995334155416,True,True,True,True
GRB150325696,133.14,37.75,57106.695862213,0.08,0.92,-0.032,6.4082,1.038,10.17,0.032,0.045,-0.016,True,0.2,2.3000000000000003,True,0.4,4.634264369886552,True,True,True,True
GRB150412931,220.26,20.13,57124.93097456,0.64,0.861,-0.448,4.9471,0.9535,8.11,0.256,0.143,-0.128,True,0.5,0.67265625,True,0.4,0.5826687155075773,True,True,True,True
GRB150605782,217.86,14.71,57178.782164765,0.176,1.243,-0.048,8.2619,1.2928,12.72,0.016,0.045,-0.032,True,0.09090909090909091,0.6420454545454547,True,0.09090909090909091,0.6910828878298463,True,True,True,True
GRB150609316,52.26,31.63,57182.316196559,0.256,0.276,-0.24,4.6326,0.8436,14.15,0.016,0.195,-0.032,True,0.8125,0.8759765625000001,True,0.0625,0.764693335607139,True,True,True,True
GRB150715136,157.26,23.57,57218.135742932,0.384,0.181,-0.192,4.5781,0.8813,19.91,0.192,0.091,-0.064,True,0.3333333333333333,0.15711805555555555,True,0.5,0.33421970774108267,True,True,True,True
GRB150721431,251.6,20.06,57224.431324621,0.32,0.181,-0.064,5.948,1.3672,29.32,0.192,0.202,-0.064,True,0.0,0.0,True,0.6,0.7166951605285193,True,True,True,True
GRB150728151,100.44,17.06,57231.151001083,1.728,0.373,0.0,7.7948,1.0132,7.53,1.344,0.181,0.064,True,0.037037037037037035,0.007994684499314128,True,0.7777777777777778,0.1978840541868951,True,True,True,True
GRB150901924,16.34,13.52,57266.924125821,0.256,1.145,-0.064,7.0986,1.3136,17.12,0.128,0.202,-0.064,True,0.0,0.0,True,0.5,2.371451688643955,True,True,True,True
GRB150923297,316.8,31.82,57288.296946575,0.192,1.462,-0.112,7.7422,1.0298,10.76,0.064,0.068,-0.048,True,0.3333333333333333,2.5381944444444446,True,0.3333333333333333,2.5627846311359095,True,True,True,True
GRB151024179,232.86,22.95,57319.179092135,4.608,2.36,-3.072,3.5067,1.1285,11.11,1.792,0.362,-1.536,True,0.33333333333333337,0.17071759259259262,True,0.38888888888888895,0.21410375697595904,True,True,True,True
GRB151229486,346.49,6.91,57385.486185977,0.16,0.202,-0.064,6.0491,1.4331,16.11,0.064,0.072,-0.032,True,0.2,0.2525,True,0.4,0.6764059432027487,True,True,True,True
GRB160224911,319.87,0.75,57442.910681372,0.384,1.778,-0.064,4.5244,1.2489,9.41,0.256,0.231,0.064,True,0.3333333333333333,1.543402777777778,True,0.6666666666666666,3.144876146880015,True,True,True,True
GRB160624477,330.191,29.6439,57563.477098988,0.384,0.405,-0.256,7.4316,1.0184,0.1,0.128,0.181,-0.064,True,0.5,0.52734375,True,0.3333333333333333,0.5880229092818389,True,True,True,True
GRB160628136,87.92,38.17,57567.136357498,5.888,2.429,-1.536,6.1343,1.292,8.52,1.792,1.379,-0.256,True,0.2173913043478261,0.0896812972589792,True,0.30434782608695654,0.2657363715211128,True,True,True,True
GRB160727971,145.99,16.4,57596.97070913,3.136,2.294,-2.24,7.6942,1.3077,3.86,1.28,0.516,-1.024,True,0.38775510204081637,0.28364483548521446,True,0.40816326530612246,0.3409102839903824,True,True,True,True
GRB161227498,79.5,39.15,57749.498127478,2.56,1.68,-0.448,7.3427,1.1327,4.88,0.704,0.231,0.064,True,0.2,0.13125,True,0.27499999999999997,0.20177019640720756,True,True,True,True
GRB170101374,157.49,28.9,57754.374003577,2.304,0.689,-0.576,3.8352,1.2153,9.07,1.088,0.32,-0.192,True,0.16666666666666666,0.049840856481481476,True,0.47222222222222227,0.19807073064409278,True,True,True,True
GRB170124528,10.85,11.02,57777.528113792,0.448,0.559,-0.32,6.9153,1.3474,3.83,0.128,0.091,-0.032,True,0.6428571428571429,0.8021364795918368,True,0.2857142857142857,0.4103116539974619,True,True,True,True
GRB170125022,264.14,28.58,57778.021686389,3.904,1.12,-2.432,2.6541,0.926,12.65,1.6,0.462,-1.6,True,0.21311475409836061,0.06113947863477559,True,0.4098360655737705,0.16681873836605512,True,True,True,True
GRB170302166,154.25,29.39,57814.165558823,3.84,1.9,-0.768,6.8015,1.1846,12.18,1.472,0.181,-0.32,True,0.11666666666666667,0.05772569444444445,True,0.38333333333333336,0.19543927212940262,True,True,True,True
GRB170318644,284.306,6.2987,57830.644364447,4.096,2.319,-2.112,3.7851,1.0556,0.002,1.152,0.692,-0.576,True,0.375,0.212310791015625,True,0.28125,0.2321587745604673,True,True,True,True
GRB170325331,127.483,20.526,57837.331227327,0.576,0.326,-0.064,8.0745,1.2088,0.03,0.128,0.091,0.0,True,0.11111111111111112,0.06288580246913582,True,0.22222222222222224,0.2019359005049895,True,True,True,True
