name,ra,dec,trigger_time,t90,t90_error,t90_start,fluence,fluence_error,flux_1024,flux_1024_error,flux_1024_time,flux_64,flux_64_error,trigger_name,t50,t50_error,t50_start,cut_t90,relative_peak_time,relative_peak_time_error,cut_peak_time,t50_t90,t50_t90_error,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB150201040,5.63,19.75,57054.039517231,0.512,1.154,-0.32,6.5443e-08,2.0535e-08,1.5347,0.2559,-0.576,4.978,1.2227,bn150201040,0.128,0.373,-0.192,True,0.25,0.5634765625,True,0.25,0.920999919845793,True,True,True,True
GRB181016718,10.18,20.75,58407.717655133,0.08,0.788,-0.032,6.1424e-08,2.1623e-08,0.9163,0.2065,-0.256,7.2417,1.4274,bn181016718,0.032,0.072,-0.032,True,0.0,0.0,True,0.4,4.041484875636676,True,True,True,True
GRB190323548,15.33,-3.88,58565.547972713,1.28,1.864,-0.512,3.9162999999999997e-07,2.9748000000000003e-08,2.1823,0.2229,-0.256,3.8041,0.8296,bn190323548,0.768,0.572,-0.256,True,0.2,0.29125,True,0.6,0.9813950927760949,True,True,True,True
GRB201105215,234.73,-3.68,59158.214956396,4.608,2.996,-2.048,1.1475e-06,2.3146e-08,4.9809,0.2636,0.96,8.4586,1.2884,bn201105215,2.816,0.572,-1.024,True,0.22222222222222224,0.14448302469135804,True,0.6111111111111112,0.4162673802230763,True,True,True,True
GRB190226515,224.43,-8.61,58540.515111993,0.192,0.132,-0.032,3.0964e-07,2.0553e-08,1.9511,0.1972,-0.768,11.0941,1.1355,bn190226515,0.16,0.072,0.0,True,0.16666666666666666,0.11458333333333334,True,0.8333333333333334,0.6847324345643665,True,True,True,True
GRB140619475,132.7,-9.7,56827.475468982,2.816,0.81,-0.256,1.5458999999999999e-06,6.9537e-08,3.1899,0.1784,-0.32,5.2829,0.7548,bn140619475,1.024,0.724,0.0,True,0.09090909090909091,0.026149276859504137,True,0.36363636363636365,0.27756464747141146,True,True,True,True
GRB180225417,180.98,-9.49,58174.417293697,0.896,1.134,-0.448,2.9542e-07,1.1796e-08,2.0325,0.1804,-0.512,5.4213,0.881,bn180225417,0.576,0.326,-0.384,True,0.07142857142857142,0.0904017857142857,True,0.6428571428571428,0.8912632257172645,True,True,True,True
GRB180511364,250.42,-8.18,58249.363608631,0.128,1.207,-0.032,1.5261e-07,2.1448e-08,1.0421,0.1486,-0.896,9.2077,0.9902,bn180511364,0.032,0.045,-0.016,True,0.125,1.1787109375000002,True,0.25,2.3834919945606625,True,True,True,True
GRB190822705,132.27,-8.08,58717.705198102,0.768,0.389,-0.128,2.131e-07,1.5647e-08,1.7453,0.1879,-0.256,6.7756,1.0451,bn190822705,0.128,0.202,-0.064,True,0.08333333333333333,0.04220920138888889,True,0.16666666666666666,0.2762361770205203,True,True,True,True
GRB210507778,285.86,-7.49,59341.778218073,2.816,1.557,-0.256,7.7674e-07,2.0854e-08,4.4529,0.2884,-0.192,6.8262,1.4103,bn210507778,1.28,0.572,0.0,True,0.09090909090909091,0.05026472107438017,True,0.4545454545454546,0.32314597358180247,True,True,True,True
GRB211024065,28.053,-6.973,59511.065409708,0.064,0.036,-0.016,9.2381e-08,1.784e-08,1.1498,0.2079,-0.768,10.4851,1.3761,bn211024065,0.064,0.036,-0.016,True,0.0,0.0,True,1.0,0.795495128834866,True,True,True,True
GRB150705588,66.54,-6.62,57208.588328796,0.704,0.73,-0.256,2.0708e-07,2.3248e-08,2.3661,0.2296,-0.384,7.609,1.2983,bn150705588,0.128,0.181,-0.128,True,0.18181818181818182,0.1885330578512397,True,0.18181818181818182,0.31882015705451844,True,True,True,True
GRB181002617,270.41,-6.49,58393.616520157,1.664,0.202,-0.064,6.8697e-07,1.6276e-08,4.1659,0.1848,0.384,5.6275,1.0049,bn181002617,0.96,0.091,0.064,True,0.07692307692307693,0.009338017751479293,True,0.576923076923077,0.08885742810615503,True,True,True,True
GRB180227211,98.61,-5.44,58176.211302784,0.288,1.438,-0.224,1.3592e-07,2.2258e-08,0.9859,0.1848,-0.704,8.0981,1.3595,bn180227211,0.064,0.091,-0.064,True,0.5555555555555556,2.77391975308642,True,0.22222222222222224,1.1536807932292767,True,True,True,True
GRB180906988,318.44,-5.47,58367.987895415,3.328,0.362,-0.256,5.5168e-07,1.2171e-08,4.0073,0.2411,-0.256,8.3333,1.3429,bn180906988,2.304,0.572,0.256,True,0.15384615384615385,0.016734467455621304,True,0.6923076923076923,0.18764827269580925,True,True,True,True
GRB170520202,244.54,-5.29,57893.202230329,6.144,5.081,-4.096,4.0795e-07,1.2631e-08,3.6459,0.2128,-0.896,5.0094,0.9594,bn170520202,1.28,0.572,-0.768,True,0.5416666666666667,0.44795057508680564,True,0.20833333333333334,0.19583361876375247,True,True,True,True
GRB150506972,29.25,-3.37,57148.971703676,0.384,0.181,-0.192,3.1253e-07,1.0278e-08,2.109,0.1936,-0.384,4.9413,0.8674,bn150506972,0.192,0.143,-0.064,True,0.3333333333333333,0.15711805555555555,True,0.5,0.4407066419882218,True,True,True,True
GRB180917477,160.46,-3.46,58378.476872735,4.864,1.81,-3.072,6.387699999999999e-07,1.8012e-08,4.4965,0.2315,-2.432,5.9742,1.222,bn180917477,1.792,0.572,-2.048,True,0.2105263157894737,0.07834141274238228,True,0.368421052631579,0.1806243821826624,True,True,True,True
GRB200903902,9.75,-2.86,59095.902066853,7.168,4.891,-1.792,5.382899999999999e-07,6.001799999999999e-08,2.5749,0.2181,-0.896,5.1643,1.185,bn200903902,2.048,1.864,-0.768,True,0.14285714285714285,0.09747688137755102,True,0.2857142857142857,0.3250079781960307,True,True,True,True
GRB181125371,268.413,-2.613,58447.371316347,3.84,2.29,-1.792,3.4955e-07,2.4831e-08,2.0282,0.2026,-1.152,3.6648,1.162,bn181125371,1.28,0.724,-1.28,True,0.13333333333333333,0.0795138888888889,True,0.33333333333333337,0.27397687102821383,True,True,True,True
GRB200922718,182.02,-1.96,59114.717981685,0.32,0.091,-0.064,4.4763e-07,1.2801e-08,2.2582,0.1841,-0.128,5.3308,0.8611,bn200922718,0.192,0.091,0.0,True,0.2,0.056874999999999995,True,0.6,0.33163538901932643,True,True,True,True
GRB140724533,314.73,-1.85,56862.533205728,0.896,0.82,-0.256,1.2694e-07,1.3886e-08,1.6223,0.2195,-0.256,4.566,1.1125,bn140724533,0.128,0.264,-0.064,True,0.21428571428571427,0.19610969387755098,True,0.14285714285714285,0.32234656427839037,True,True,True,True
GRB180927993,236.05,-1.72,58388.992594828,4.608,3.208,-1.024,1.0890999999999999e-06,6.773e-08,4.3984,1.7093,-0.192,16.0947,26.5301,bn180927993,1.536,0.81,-0.256,True,0.16666666666666669,0.11603009259259263,True,0.33333333333333337,0.29112021125257687,True,True,True,True
GRB170901007,23.97,-1.6,57997.006979389,5.888,2.673,-0.768,7.8226e-07,5.1981e-08,2.5814,0.2217,-0.576,4.4768,1.172,bn170901007,2.304,0.724,-0.256,True,0.08695652173913043,0.039476016068052934,True,0.3913043478260869,0.21604709811730594,True,True,True,True
GRB160826938,104.46,-1.02,57626.938088868,1.792,0.773,-1.344,2.9765e-07,1.4262e-08,2.9774,0.2372,-1.024,4.1098,1.0212,bn160826938,0.64,0.181,-0.832,True,0.28571428571428575,0.12324617346938778,True,0.35714285714285715,0.1842163997112951,True,True,True,True
GRB180715755,235.069,-0.925,58314.754919691,0.704,0.286,-0.192,1.045e-06,2.2184000000000002e-08,5.0881,0.2071,-0.256,8.4063,1.2844,bn180715755,0.384,0.091,0.0,True,0.27272727272727276,0.11079545454545456,True,0.5454545454545455,0.25653660775972653,True,True,True,True
GRB170203486,245.09,-0.51,57787.486410358,0.336,0.506,-0.064,1.2526e-07,1.5887000000000002e-08,1.4128,0.1891,-0.256,6.8885,1.3493,bn170203486,0.144,0.116,-0.048,True,0.047619047619047616,0.07171201814058957,True,0.4285714285714285,0.7319433308755017,True,True,True,True
GRB160224911,319.87,0.75,57442.910681372,0.384,1.778,-0.064,1.2062e-07,2.2820000000000002e-08,1.5809,0.2158,-0.192,4.5244,1.2489,bn160224911,0.256,0.231,0.064,True,0.3333333333333333,1.543402777777778,True,0.6666666666666666,3.144876146880015,True,True,True,True
GRB210417957,157.46,2.32,59321.956794466,0.832,0.466,-0.384,1.598e-07,4.7363e-08,1.7578,0.3023,-0.448,4.4655,1.4193,bn210417957,0.448,0.572,-0.32,True,0.07692307692307693,0.04308431952662723,True,0.5384615384615385,0.7507415806151629,True,True,True,True
GRB210404141,175.55,2.34,59308.14123146,1.344,0.746,-0.128,2.1672999999999998e-07,1.5176e-08,2.1984,0.2615,-0.256,6.5091,1.2936,bn210404141,0.64,0.389,-0.128,True,0.0,0.0,True,0.47619047619047616,0.3919620712966063,True,True,True,True
GRB170709334,310.04,2.2,57943.333610873,1.856,0.898,-0.576,6.830799999999999e-07,1.767e-08,2.6587,0.195,-0.128,10.0937,1.0484,bn170709334,0.704,0.091,0.0,True,0.31034482758620685,0.15015606420927466,True,0.3793103448275862,0.18996064115528313,True,True,True,True
GRB141206254,320.56,2.42,56997.254070718,4.608,1.557,-1.28,5.366e-07,2.8533e-08,1.9184,0.1903,0.064,3.4086,0.8422,bn141206254,2.048,0.724,-0.512,True,0.16666666666666669,0.05631510416666668,True,0.4444444444444445,0.21734349968588865,True,True,True,True
GRB210929821,262.95,2.44,59486.82109272,10.752,8.208,-0.512,3.6173e-07,1.8581e-08,1.9492,0.2094,0.0,4.6303,1.3486,bn210929821,1.28,0.81,-0.256,True,0.023809523809523808,0.018176020408163265,True,0.11904761904761904,0.11804460286952526,True,True,True,True
GRB180718082,336.019,2.79,58317.081766214,0.08,0.182,-0.048,8.5834e-08,1.7351e-08,0.8688,0.1257,-0.256,9.0129,0.9926,bn180718082,0.032,0.045,-0.032,True,0.2,0.45499999999999996,True,0.4,1.069815988850419,True,True,True,True
GRB220129873,244.35,2.9,59608.873268577,2.048,2.064,-1.024,2.6005e-07,3.3256e-08,1.4546,0.1758,-0.384,3.1889,1.098,bn220129873,0.768,0.724,-0.256,True,0.375,0.3779296875,True,0.375,0.5174979669650773,True,True,True,True
GRB150412507,186.79,2.91,57124.507369695,0.576,1.319,-0.128,1.2957e-07,1.2244e-08,1.7299,0.2029,-0.384,5.9032,1.0491,bn150412507,0.256,0.231,-0.128,True,0.0,0.0,True,0.4444444444444445,1.0939118787657882,True,True,True,True
