name,ra,dec,trigger_time,t90,t90_error,t90_start,fluence,fluence_error,flux_1024,flux_1024_error,flux_1024_time,flux_64,flux_64_error,error_radius,t50,t50_error,t50_start,cut_t90,relative_peak_time,relative_peak_time_error,cut_peak_time,t50_t90,t50_t90_error,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB221022815,118.342,-5.117,59874.814971668,6.912,4.419,-2.816,5.1039e-07,5.4851e-08,3.2527,0.367,-1.6,8.209,2.2799,0.08,2.304,1.864,-2.048,True,0.11111111111111108,0.07103587962962961,True,0.3333333333333333,0.3437149557072002,True,True,True,True
GRB241115554,86.765,-0.662,60629.554452926,3.072,0.264,0.0,1.6033e-06,1.3657000000000001e-08,7.6523,0.2872,0.32,11.0909,1.3609,0.05,1.088,0.143,0.448,True,0.14583333333333334,0.012532552083333334,True,0.3541666666666667,0.0556166895303059,True,True,True,True
GRB250128683,231.426,-0.5397,60703.682566814,1.12,0.862,-0.768,1.3931e-07,1.0071e-08,1.6201,0.2703,-0.448,9.0051,1.6667,0.0233,0.096,0.072,-0.064,True,0.6285714285714284,0.4837755102040815,True,0.0857142857142857,0.0921119600378121,True,True,True,True
GRB250718296,213.53,1.67,60874.295602947,1.344,0.979,-0.832,2.5245999999999997e-07,1.0766e-08,1.4989,0.2225,-0.192,4.7453,1.116,11.15,0.192,0.181,-0.128,True,0.5238095238095237,0.3815547052154194,True,0.14285714285714285,0.1701918793283402,True,True,True,True
GRB250217325,154.95,1.8900000000000001,60723.324602132,0.896,0.779,-0.064,2.1296e-07,6.6054e-09,1.6199,0.2017,-0.064,6.258,1.0176,11.28,0.32,0.091,-0.064,True,0.0,0.0,True,0.35714285714285715,0.3266948851154033,True,True,True,True
GRB240824549,17.835,2.62,60546.549498828,1.472,0.5,-1.344,2.4384e-07,1.9036e-08,1.9336,0.2138,-0.64,2.9444,1.0213,0.05,0.896,0.286,-1.024,True,0.21739130434782614,0.07384215500945182,True,0.6086956521739131,0.2837231755236006,True,True,True,True
GRB231206789,41.87,3.91,60284.789324058,2.816,2.415,-1.536,5.8151e-07,2.021e-08,3.7152,0.2836,-0.64,6.4191,1.1897,8.34,0.768,0.362,-0.768,True,0.27272727272727276,0.23389075413223145,True,0.27272727272727276,0.26689001391758027,True,True,True,True
GRB241209233,155.376,6.316,60653.233150027,0.128,0.181,-0.064,1.1132e-07,1.5417e-08,1.1552,0.2012,-0.128,5.3419,0.8654,0.05,0.064,0.091,-0.064,True,0.0,0.0,True,0.5,1.002659123223248,True,True,True,True
GRB251014020,111.732,6.415,60962.019795565,1.728,0.653,-0.128,3.2601e-07,1.4588999999999999e-08,3.7869,0.2326,-0.192,5.5663,1.2689,0.05,0.64,0.181,0.0,True,0.07407407407407407,0.027992112482853226,True,0.3703703703703704,0.17481576486502512,True,True,True,True
GRB251012616,291.62,7.46,60960.61559265,0.576,1.231,-0.576,1.0675e-07,7.9847e-09,1.4145,0.183,-0.128,9.2853,1.2426,9.89,0.064,0.091,-0.128,True,0.7777777777777778,1.6622299382716053,True,0.11111111111111112,0.2852148964818701,True,True,True,True
GRB251108889,144.63,8.03,60987.888729866,1.536,0.286,-0.256,2.4121e-07,8.0108e-09,1.3282,0.156,-0.256,3.705,0.9762,3.23,0.576,0.143,-0.128,True,0.08333333333333333,0.015516493055555554,True,0.37499999999999994,0.11637369791666664,True,True,True,True
GRB240916609,56.47,8.97,60569.608855612,0.192,0.091,-0.064,1.4606e-07,6.8491e-09,0.3044,0.3132,-0.896,6.0235,1.0831,17.61,0.064,0.202,-0.064,True,0.0,0.0,True,0.3333333333333333,1.0638791997129138,True,True,True,True
