## name	ra	dec	trigger_time	t90	t90_error	t90_start	flux_64	flux_64_error	error_radius	t50	t50_error	t50_start
GRB141205018	294.61	-87.58	56996.017706164	  13.056	 1.280	  -6.912	  4.6669	  1.8177	3.9	   5.888	 1.280	  -1.792
GRB141205337	92.859	37.876	56996.337007995	   1.280	 0.572	  -0.256	  6.3299	  1.5881	0.033	   0.256	 0.572	   0.000
GRB141205763	298.77	-7.82	56996.762820128	   5.437	 0.407	   0.003	 30.2162	  2.4719	1.73	   1.536	 0.362	   1.088
GRB141206254	320.56	2.42	56997.254070718	   4.608	 1.557	  -1.280	  3.4086	  0.8422	9.29	   2.048	 0.724	  -0.512
GRB141207800	159.99	3.91	56998.799549823	  20.992	 0.572	   1.280	 12.7461	  1.2009	0.215	  10.240	 0.572	   4.352
GRB141208038	239.16	10.97	56999.038228916	  14.336	 1.448	  -1.024	  4.3855	  1.4075	9.49	   7.424	 0.572	   0.512
GRB141208632	359.26	26.44	56999.631924993	   0.960	 0.834	  -0.960	  6.7821	  1.4608	16.98	   0.576	 0.429	  -0.640
GRB141209131	90.2	-30.57	57000.130550251	  78.081	 4.971	   2.304	  4.6547	  0.9574	3.5	  46.849	 1.493	   7.168
GRB141213300	248.19	18.06	57004.300178577	   0.768	 0.513	  -0.064	 15.8008	  1.5719	8.72	   0.192	 0.072	   0.032
GRB141215560	179.056	-52.745	57006.559904562	  11.264	 0.362	   1.088	 30.3631	  2.4895	0.25	   7.424	 0.362	   3.392
GRB141220252	195.067	32.1336	57011.251996362	   7.616	 0.923	  -0.896	 16.0741	  1.4775	0.001	   3.133	 0.768	   0.003
GRB141221338	198.286	8.2054	57012.338324263	  23.808	 1.717	  -8.704	  8.9384	  1.5245	0.0011	  11.008	 3.874	  -0.256
GRB141221897	126.02	-74.21	57012.897092439	  32.513	 1.846	  -1.280	  4.9781	  0.8917	3.69	  13.568	 0.810	   5.888
GRB141222298	178.04	-57.35	57013.297886547	   2.752	 0.264	   0.000	121.019	  2.6175	0.1	   0.768	 0.091	   0.192
GRB141222691	97.43	40.13	57013.69062894	  34.049	 0.724	   1.280	 21.7370	  1.4917	1	  16.384	 0.362	   3.840
GRB141223240	147.38	-20.71	57014.240022801	  94.208	 3.974	  -3.584	  3.9716	  1.2900	7.48	  40.448	18.205	   1.024
GRB141225959	138.751	33.795	57016.959187691	  56.320	 4.891	  -0.512	  4.4224	  1.1273	0.05	  16.384	 1.280	   4.096
GRB141226880	163.85	28.39	57017.880144883	  38.656	 3.415	  -0.512	  3.6000	  0.9706	6.26	  15.872	 1.493	   3.584
GRB141229492	72.4283	-19.2328	57020.492359211	  13.824	 6.661	   0.000	 12.1406	  1.3133	0.0013	   3.328	 0.810	   0.512
